;;TABLA;FEC_TRAS;FEC_FIN;HAS;BASICO;RENDIMIENTO;VARIEDAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;207;08/07/2005;26/09/2005;3,65;BROCOLI;8,379;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;D O R S O;;;;;;;G U S A N O;;;;;;;;;C H I N C H E;;;;;;B E N E F I C O S;;;;;;;;;
DIA;LAPSO;FECHA_MUESTRA;N_PLANTAS;DORSO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;GUSANO;HUEVESILLO;CHICO;MEDIANO;GRANDE;NO PARASITADO;PROMEDIO;PULGON;PROMEDIO PULGON;CHINCHE;HUEVESILLO;GRANDE;PROMEDIO;DIABROTICA;PROMEDIO DIABROTICA;BENEFICOS;DORSO_PARASITADO;GUSANOS PARASITADOS;PULGON PARASITADO;CHRYSOPA;SYRFID;DIADEGMA;CATARINA;PIRATA;PROMEDIO BENEFICOS;PROMEDIO TOTAL
64;1;09-sep-05;TRICHOGRAMMA;26 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;;09-sep-05;CHRYSOPA HUEVESILLO;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;;09-sep-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;3;12-sep-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;;12-sep-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;1;13-sep-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;1;14-sep-05;CHRYSOPA HUEVESILLO;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;;14-sep-05;MOSCA TACHINIDE;16 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;1;15-sep-05;DIADEGMA;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;;15-sep-05;DIADEGMA;8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;1;14-sep-05;DIADEGMA;1 ;"""TALVEZ ES 16""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;4;20-sep-05;DIADEGMA;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;;20-sep-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;;20-sep-05;CHRYSOPA HUEVESILLO;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;1;21-sep-05;DIADEGMA;2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;1;22-sep-05;TRICHOGRAMMA;60 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;;22-sep-05;DIADEGMA;1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;5;27-sep-05;CHRYSOPA HUEVESILLO;8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
